product_id,role,id,scores,evidence_audit,reason,objection,gate,total
P2,数据,P2,"{""证据匹配"": 82, ""样本广度"": 78, ""价格可比"": 86, ""结论稳健"": 82}","{""broad"": {""n"": 51, ""shops"": 26, ""median_price"": 1835.15, ""ranks"": [1, 3, 9, 13, 14, 15, 19, 26, 38, 41, 42, 44, 53, 55, 59, 72, 83, 87, 94, 96, 99, 115, 117, 118, 121, 122, 136, 140, 147, 152, 161, 174, 180, 184, 188, 193, 203, 238, 241, 242, 245, 250, 253, 256, 260, 272, 278, 283, 292, 293, 299], ""patterns"": [""偏硬|护脊|舒脊|承托|硬睡感"", ""黄麻|椰棕""]}, ""strict"": {""n"": 11, ""shops"": 4, ""median_price"": 2094.4, ""ranks"": [1, 3, 44, 55, 59, 99, 115, 161, 180, 184, 253], ""patterns"": [""偏硬|硬睡感|承托"", ""黄麻"", ""双面|双睡感|双睡|软硬两|正反""]}, ""sku_only"": {""n"": 14, ""shops"": 11, ""median_price"": 1701.275, ""ranks"": [3, 44, 55, 59, 87, 115, 117, 188, 253, 260, 272, 283, 293, 299], ""patterns"": [""偏硬|护脊|舒脊|承托|硬睡感"", ""黄麻|椰棕""]}}",在T1胜出池内，‘偏硬/承托+黄麻/椰棕’宽口径命中51款商品、26家店，商品等权价格中位1835.15元；收紧为‘偏硬/承托+黄麻+双面’后仍有11款、4家店，价格中位2094.4元，与1999元方案接近。只在SKU文本中应用宽口径时有14款、11店，表明宽口径存在标题层功能词泄漏，但仍有较分散的SKU级直接证据。在五款中，这仍是材料、睡感和价格证据最一致的方案。,数据支持的是‘偏硬黄麻承托’，不是治疗腰痛或医疗护脊；双面命中样本少于偏硬+黄麻样本，且双面仍不等于左右分区。,打样后按体重段校准偏硬/硬的主观标签，验证黄麻密度、含胶方式、气味、含水率与弹簧摩擦异响；禁止将成人/长辈偏好扩张为医疗结论。,81.8
P2,操盘,P2,"{""定位清晰"": 88, ""转化证据"": 84, ""经济容错"": 76, ""测试可执行"": 86}",,“偏硬/硬双面+黄麻承托”面向偏硬刚需，选购理由比泛化护脊更具体，也主动回避医疗功效。1999元处在T1主流价带内部，且三档1799/1999/2299有清楚的承托与舒适层梯度，适合搜索词、达人讲解和客服问答。统一模型下贡献为1999×0.66-820-200=299.34元，贡献率约14.97%，具备首发可行性但缓冲明显低于P1。卖点可以通过实拍按压、睡感标签和材料切面转化，测试链路短。,偏硬需求有证据，但“黄麻+偏硬”竞争拥挤，品牌弱时容易退化为材料和价格对比；偏硬/硬的差别若描述不准，会提高误购、试睡退货和长辈人群投诉。主销款在当前统一假设下仅约299元贡献，实际广告或售后任一项超预算，就会迅速侵蚀容错。,禁用治疗腰痛、矫正脊柱等表述，先以“偏硬睡感”成交。至少完成偏硬/硬两面标签校准和客服话术测试；投放首轮仅保留主销22与舒适24两个选项，观察用户是否因“硬度不确定”大量咨询或退款。放量门槛为广告费率不高于20%、单单贡献不低于250元，且硬度相关退款原因不成为首要售后原因。,83.0
P2,供应链,P2,"{""结构成熟"": 83, ""质量可控"": 66, ""履约售后"": 62, ""规格复杂度"": 80}",,常规独袋与黄麻板采购、加工路径较清晰，20/22/24cm围绕单一偏硬定位，规格管理较容易。2cm黄麻与独袋组合仍需验证双面受力、隔离和固定，板材密度、含水率及批次气味会影响一致性。薄表层对硬感的缓冲能力尚未验证，面向长辈时翻面及搬运便利性也不能默认成立。,黄麻朝上时仅1cm反面绗缝层覆盖，表面硌感与硬板、袋布摩擦风险不能由结构描述排除；黄麻朝下时的支撑和长期变形也需单独检查。820元制造成本及200元运费没有报价支撑，尚不能确认偏硬退换货是否可被现有成本预算覆盖。,明确黄麻密度、粘结工艺、含水率、检验抽样及批次追溯；把黄麻与独袋的隔离和固定落实到工艺图，对两面分别开展耐久、摩擦异响、板层破损与边缘支撑检查。样品反馈校准偏硬/硬的适配说明；核定整垫重量、翻面指引、运输包装和退换费用后再放行，不能以偏硬结构作医疗效果承诺。,72.2
P2,视觉,P2,"{""首屏识别"": 88, ""证据可视"": 88, ""差异表达"": 72, ""标价可信"": 95}",,暖木场景、黄麻实拍切面与手压表层能较直接地传达“偏硬但表层不硌”的产品逻辑，且主销规格和价格口径清楚。实拍材料比抽象护脊图更可信，也符合禁止治疗前后图的边界。,黄麻、偏硬、承托属于高同质化表达，单纯手压画面并不是硬度或耐久证据；若黄麻颜色被过度修饰，或把热压黄麻暗示成整垫0胶，会损害可信度。,条件通过：黄麻切面和按压必须来自量产同结构样品，主图只表达偏硬睡感与材料构造；不得出现治疗腰痛、脊柱矫正、整垫0胶等未经验证表述。,86.2
P1,数据,P1,"{""证据匹配"": 70, ""样本广度"": 72, ""价格可比"": 78, ""结论稳健"": 76}","{""broad"": {""n"": 42, ""shops"": 17, ""median_price"": 2259.3, ""ranks"": [1, 3, 10, 12, 13, 14, 17, 26, 34, 42, 44, 47, 53, 55, 57, 59, 72, 83, 85, 99, 101, 115, 117, 151, 161, 174, 177, 179, 180, 184, 204, 209, 220, 225, 245, 247, 253, 273, 277, 282, 292, 299], ""patterns"": [""双面|双睡感|双睡|软硬两""]}, ""strict"": {""n"": 5, ""shops"": 1, ""median_price"": 1847.9, ""ranks"": [44, 57, 209, 225, 245], ""patterns"": [""双面|双睡感|双睡|软硬两"", ""独立袋|独袋|袋装""]}, ""sku_only"": {""n"": 42, ""shops"": 17, ""median_price"": 2259.3, ""ranks"": [1, 3, 10, 12, 13, 14, 17, 26, 34, 42, 44, 47, 53, 55, 57, 59, 72, 83, 85, 99, 101, 115, 117, 151, 161, 174, 177, 179, 180, 184, 204, 209, 220, 225, 245, 247, 253, 273, 277, 282, 292, 299], ""patterns"": [""双面|双睡感|双睡|软硬两""]}}",在pipeline.qualifies生成的T1胜出赛道池内，双面/双睡感子集覆盖42款商品、17家店，商品等权价格中位2259.3元，与2199元主销价接近；同一口径改用SKU文本检索仍是42款、17店。但进一步要求明确独立袋/独袋/袋装时，仅剩5款且全部来自1家店，价格中位1847.9元。因此数据较好支持‘整张双面主卧’及其价格，但不足以把独袋抗干扰视为已被多店样本验证。,标题中的‘双面’或‘弹簧’会泄漏到同一商品的所有SKU，使某些价格变体被误当成同结构可比样本；双面是整张翻面选择，不代表夫妻左右同时不同软硬。,样品盲测需确认正反面硬度差可识别；用实物工艺单确认独袋、围边与黄麻固定方式；抗干扰表述须有统一载荷和距离的对照测试。,73.0
P1,操盘,P1,"{""定位清晰"": 91, ""转化证据"": 90, ""经济容错"": 86, ""测试可执行"": 88}",,首发人群、问题和动作都足够直接：用户通过整张翻面，在适中与偏硬之间选择；方案也明确说明不解决夫妻左右不同软硬，避免把双面翻转误说成左右分区。T1清洗后有92款、333个SKU、Top30有12款，商品价格中位数为2221.9元，P1主销价2199元几乎贴合赛道中位数，且落在Q25 1700.74元至Q75 2549.15元内，价格教育成本最低。按统一假设，主销规格贡献为2199×0.66-850-200=401.34元，贡献率约18.25%；五款中绝对贡献和比例均最好，能承受小幅素材、客服或履约波动。三档1799/2199/2499的价差清楚，适合分别测试引流、主销和升级承接。,双面/双感在T1里有较强市场证据，但也容易同质化；若正反面体感差不明显，用户会把核心卖点理解成普通双面床垫。2199元的经济性仍建立在广告20%、售后准备8%可控的假设上，未覆盖固定费用和税务，不能据此宣称盈利。,上线前必须完成同一批样品的盲测，确认多数目标用户能稳定区分正反睡感；商品页和SKU必须统一写明“整张翻面”，不得出现左右分区暗示。首轮付费测试以主销23为唯一主链路，要求实际广告费率不高于20%、售后准备8%能够覆盖退款换货、按实付口径单单贡献不低于300元；任一项未达标则先调成本、运费或售价，不扩SKU。,88.65
P1,供应链,P1,"{""结构成熟"": 84, ""质量可控"": 70, ""履约售后"": 64, ""规格复杂度"": 76}",,独袋弹簧、泡棉和绗缝加工属于成熟结构，双面工艺具备复用可能；但1cm黄麻与16cm独袋的接触隔离、双向受力固定及围边方案尚未定义，不能把材料成熟直接视为整垫质量已验证。整张翻面和1.8m大件配送仍有搬运、退运负担。21/23/25cm三档需要独立物料与标识，升级档可选乳胶进一步增加采购和检验项目。,当前850元制造成本、200元运费和23cm层厚合计均为方案假设；未提供密度、弹簧线径、固定工艺、整垫重量或供应商报价。黄麻位于独袋一侧，翻面后其承载位置改变，可能产生层间滑移、摩擦声或局部硬感，不能预先承诺静音、抗干扰或两面耐久等效。,先锁定23cm单一首发配置及含隔离、固定、围边的BOM，明确成品厚度公差；样品必须分别以两面朝上完成滚压、边缘承托、异响和层间位移检查，并验证盲测睡感差及实际翻面可操作性。取得黄麻批次含水率、气味和相关材料检测资料；以实测重量及包装尺寸核验送装、退运报价后，才决定服务承诺与小批量放行。,73.6
P1,视觉,P1,"{""首屏识别"": 94, ""证据可视"": 82, ""差异表达"": 86, ""标价可信"": 96}",,“翻一面”与单一翻面箭头能在首屏快速解释整张床垫的两种睡感，米白/石墨双色也有助于区分正反面。1.8×2m、23cm、单床垫与明确价格同时呈现，标价口径完整。右下切角可以解释结构，但结构线稿只能说明构造，不能单独证明实际软硬差、抗干扰或承托效果。,双面床垫在市场上并非稀缺视觉，若双色切面、翻面箭头和“适中/偏硬”标签不够明确，容易退化成普通床垫棚拍；也必须避免让用户误解为夫妻可同时获得左右不同软硬。,条件通过：主图必须明确写“整张翻面选择”，用实物正反面或真实样品切角；硬度差需经盲测确认后再标注，不能加入未确定的国补、试睡、取旧或完全抗干扰承诺。,89.2
P3,数据,P3,"{""证据匹配"": 46, ""样本广度"": 48, ""价格可比"": 84, ""结论稳健"": 54}",,‘可拆洗/拉链+双面/弹簧’宽口径命中14款商品、8家店，排名中位98.5，价格中位约2344元；8款落在2399元±10%，9款有与24cm相近的厚度证据。价格对标良好，但在当前文本中收紧到‘可拆+外套/面套+双面/弹簧’后为0款，无法证明榜单中的可拆洗一定指可机洗外套。,概念把‘可拆洗’进一步具体化为‘可拆外套’，存在语义外推；原始词可能指分层拆卸、芯材水洗或营销表述，不能直接支持1.8m面套能被家用洗衣机处理。,必须用真实1.8m面套完成拆装时长、洗衣机容量、洗后缩率、复装公差和拉链寿命测试；未通过前只能称‘可拆面套’，不应默认‘家用机洗’。,55.3
P3,操盘,P3,"{""定位清晰"": 92, ""转化证据"": 73, ""经济容错"": 66, ""测试可执行"": 72}",,“外套可拆洗、内芯不可水洗”的边界清楚，清洁维护问题易被首屏演示，定位识别度高于单纯材料堆叠。2399元位于T1的Q25至Q75区间，价格仍可与主流双感产品直接比较。统一模型下贡献为2399×0.66-1080-210=293.34元，贡献率约12.23%；金额接近P2，但高成本和额外面套库存让经济容错更弱。基础22、主销24、替换套装的交易结构可测试，但替换套装不能用裸垫成本假设外推。,阶段一只证明T1大赛道，不等于可拆外套需求已经被同等验证；用户也可能在看到1.8米面套后质疑是否能放入家用洗衣机。若洗护说明复杂、复装困难或替换外套缺货，清洁卖点会反向制造客服和差评。现有293元贡献尚未计备用外套仓储、单独换件和固定费用。,上线素材必须用真实拆装和洗标，不得展示整垫水洗。先以基础22和主销24做小流量A/B，验证“可拆洗”相对普通双感素材是否带来转化提升，同时统计洗衣机容量、复装和缩水咨询。放量门槛为实际广告费率不高于20%、主销款单单贡献不低于250元，并在备用面套库存、换件价格和责任边界上线前全部公开。,75.45
